 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1466,041172025_PRAS_DF4x_10x_Q4.jpg (red),126,2271.175,1637.405,0.921,1.150,0.869,0.906
1467,041172025_PRAS_DF4x_10x_Q4.jpg (red),54,1790.648,1636.204,0.975,1.262,0.793,0.915
1468,041172025_PRAS_DF4x_10x_Q4.jpg (red),9,2289.056,1635.500,0.726,1.601,0.624,0.818
1469,041172025_PRAS_DF4x_10x_Q4.jpg (red),11,763.864,1636.409,1.000,1.372,0.729,0.957
1470,041172025_PRAS_DF4x_10x_Q4.jpg (red),54,817.204,1638.778,0.933,1.340,0.746,0.893
1471,041172025_PRAS_DF4x_10x_Q4.jpg (red),52,1319.000,1641.000,0.956,1.289,0.776,0.912
1472,041172025_PRAS_DF4x_10x_Q4.jpg (red),61,1657.107,1641.844,0.951,1.200,0.833,0.904
1473,041172025_PRAS_DF4x_10x_Q4.jpg (red),40,1755.000,1643.275,0.906,1.478,0.677,0.899
1474,041172025_PRAS_DF4x_10x_Q4.jpg (red),35,257.986,1648.300,0.834,1.276,0.784,0.805
1475,041172025_PRAS_DF4x_10x_Q4.jpg (red),53,307.009,1651.217,0.394,1.198,0.834,0.726
1476,041172025_PRAS_DF4x_10x_Q4.jpg (red),18,1009.556,1649.056,0.687,2.005,0.499,0.735
1477,041172025_PRAS_DF4x_10x_Q4.jpg (red),49,1999.888,1651.867,0.868,1.304,0.767,0.817
1478,041172025_PRAS_DF4x_10x_Q4.jpg (red),21,1326.595,1651.881,0.943,1.515,0.660,0.857
1479,041172025_PRAS_DF4x_10x_Q4.jpg (red),67,272.530,1654.739,0.912,1.419,0.705,0.882
1480,041172025_PRAS_DF4x_10x_Q4.jpg (red),20,806.750,1651.950,0.784,1.558,0.642,0.870
1481,041172025_PRAS_DF4x_10x_Q4.jpg (red),83,1158.753,1654.681,0.870,1.398,0.715,0.892
1482,041172025_PRAS_DF4x_10x_Q4.jpg (red),48,671.021,1654.812,0.513,1.434,0.697,0.706
1483,041172025_PRAS_DF4x_10x_Q4.jpg (red),60,1867.200,1654.733,0.936,1.516,0.660,0.909
1484,041172025_PRAS_DF4x_10x_Q4.jpg (red),42,1264.095,1655.857,0.608,1.404,0.712,0.764
1485,041172025_PRAS_DF4x_10x_Q4.jpg (red),99,1278.722,1659.864,0.971,1.221,0.819,0.934
1486,041172025_PRAS_DF4x_10x_Q4.jpg (red),5,190.900,1657.900,0.674,2.610,0.383,0.769
1487,041172025_PRAS_DF4x_10x_Q4.jpg (red),6,195.667,1658.667,0.555,3.003,0.333,0.750
1488,041172025_PRAS_DF4x_10x_Q4.jpg (red),36,1370.000,1660.000,0.611,1.517,0.659,0.750
1489,041172025_PRAS_DF4x_10x_Q4.jpg (red),20,168.000,1660.300,0.994,1.619,0.618,0.909
1490,041172025_PRAS_DF4x_10x_Q4.jpg (red),30,1270.767,1661.967,0.714,1.760,0.568,0.811
1491,041172025_PRAS_DF4x_10x_Q4.jpg (red),50,1671.180,1663.960,0.780,1.696,0.590,0.833
1492,041172025_PRAS_DF4x_10x_Q4.jpg (red),77,2021.591,1664.708,0.807,1.204,0.830,0.865
1493,041172025_PRAS_DF4x_10x_Q4.jpg (red),7,1724.500,1662.214,1.000,1.069,0.936,0.875
1494,041172025_PRAS_DF4x_10x_Q4.jpg (red),142,2232.077,1668.775,0.910,1.180,0.848,0.913
1495,041172025_PRAS_DF4x_10x_Q4.jpg (red),65,1264.715,1667.762,0.973,1.317,0.759,0.922
1496,041172025_PRAS_DF4x_10x_Q4.jpg (red),17,164.618,1670.382,0.763,2.194,0.456,0.810
1497,041172025_PRAS_DF4x_10x_Q4.jpg (red),184,449.522,1674.880,0.838,1.140,0.877,0.913
1498,041172025_PRAS_DF4x_10x_Q4.jpg (red),14,1151.857,1670.357,0.838,2.363,0.423,0.875
1499,041172025_PRAS_DF4x_10x_Q4.jpg (red),47,2203.989,1672.713,0.887,1.143,0.875,0.839
1500,041172025_PRAS_DF4x_10x_Q4.jpg (red),15,644.033,1672.967,0.804,1.773,0.564,0.811
1501,041172025_PRAS_DF4x_10x_Q4.jpg (red),46,716.152,1676.935,0.616,1.793,0.558,0.748
1502,041172025_PRAS_DF4x_10x_Q4.jpg (red),84,2044.940,1677.119,0.880,1.224,0.817,0.857
1503,041172025_PRAS_DF4x_10x_Q4.jpg (red),11,1147.864,1675.500,0.887,1.957,0.511,0.846
1504,041172025_PRAS_DF4x_10x_Q4.jpg (red),56,786.357,1677.964,0.967,1.135,0.881,0.903
1505,041172025_PRAS_DF4x_10x_Q4.jpg (red),128,1053.805,1681.695,0.974,1.091,0.917,0.934
1506,041172025_PRAS_DF4x_10x_Q4.jpg (red),86,1368.302,1679.988,0.946,1.157,0.864,0.915
1507,041172025_PRAS_DF4x_10x_Q4.jpg (red),45,1913.789,1682.544,0.970,1.089,0.918,0.909
1508,041172025_PRAS_DF4x_10x_Q4.jpg (red),28,343.000,1686.357,1.000,1.199,0.834,0.966
1509,041172025_PRAS_DF4x_10x_Q4.jpg (red),47,1489.436,1687.691,0.848,1.628,0.614,0.870
1510,041172025_PRAS_DF4x_10x_Q4.jpg (red),76,69.105,1690.566,0.996,1.096,0.912,0.938
1511,041172025_PRAS_DF4x_10x_Q4.jpg (red),54,302.667,1691.352,0.828,1.607,0.622,0.824
1512,041172025_PRAS_DF4x_10x_Q4.jpg (red),22,1603.773,1691.727,0.788,1.779,0.562,0.846
1513,041172025_PRAS_DF4x_10x_Q4.jpg (red),33,157.015,1692.924,0.596,2.043,0.490,0.750
1514,041172025_PRAS_DF4x_10x_Q4.jpg (red),95,2160.847,1695.963,0.776,1.418,0.705,0.868
1515,041172025_PRAS_DF4x_10x_Q4.jpg (red),11,740.136,1693.682,0.976,1.714,0.583,0.846
1516,041172025_PRAS_DF4x_10x_Q4.jpg (red),218,2036.280,1701.206,0.894,1.258,0.795,0.905
1517,041172025_PRAS_DF4x_10x_Q4.jpg (red),8,156.000,1696.750,0.914,1.989,0.503,0.800
1518,041172025_PRAS_DF4x_10x_Q4.jpg (red),69,1483.659,1702.312,0.924,1.291,0.774,0.879
1519,041172025_PRAS_DF4x_10x_Q4.jpg (red),51,60.069,1704.500,0.963,1.337,0.748,0.887
1520,041172025_PRAS_DF4x_10x_Q4.jpg (red),36,1204.056,1703.333,0.680,1.262,0.792,0.766
1521,041172025_PRAS_DF4x_10x_Q4.jpg (red),57,1459.904,1703.798,0.663,1.503,0.666,0.770
1522,041172025_PRAS_DF4x_10x_Q4.jpg (red),34,1619.500,1703.500,0.919,1.702,0.587,0.883
1523,041172025_PRAS_DF4x_10x_Q4.jpg (red),42,1861.476,1703.524,0.846,1.676,0.597,0.832
1524,041172025_PRAS_DF4x_10x_Q4.jpg (red),14,247.786,1703.500,0.911,1.556,0.643,0.848
1525,041172025_PRAS_DF4x_10x_Q4.jpg (red),23,908.543,1703.413,1.000,1.149,0.870,0.902
1526,041172025_PRAS_DF4x_10x_Q4.jpg (red),39,1497.013,1705.526,0.598,1.485,0.673,0.750
1527,041172025_PRAS_DF4x_10x_Q4.jpg (red),73,311.267,1707.500,0.634,1.352,0.740,0.798
1528,041172025_PRAS_DF4x_10x_Q4.jpg (red),61,549.303,1706.025,0.913,1.122,0.891,0.917
1529,041172025_PRAS_DF4x_10x_Q4.jpg (red),55,1686.191,1706.227,0.993,1.326,0.754,0.917
1530,041172025_PRAS_DF4x_10x_Q4.jpg (red),87,2153.569,1708.052,0.765,1.668,0.599,0.829
1531,041172025_PRAS_DF4x_10x_Q4.jpg (red),30,121.933,1705.500,0.811,1.478,0.677,0.811
1532,041172025_PRAS_DF4x_10x_Q4.jpg (red),86,2136.093,1711.070,0.843,1.482,0.675,0.873
1533,041172025_PRAS_DF4x_10x_Q4.jpg (red),50,718.560,1712.360,0.670,1.439,0.695,0.813
1534,041172025_PRAS_DF4x_10x_Q4.jpg (red),18,1317.278,1710.056,0.965,1.639,0.610,0.878
1535,041172025_PRAS_DF4x_10x_Q4.jpg (red),23,912.022,1711.283,0.824,1.845,0.542,0.821
1536,041172025_PRAS_DF4x_10x_Q4.jpg (red),39,675.577,1713.628,1.000,1.288,0.776,0.907
1537,041172025_PRAS_DF4x_10x_Q4.jpg (red),40,1193.875,1714.100,1.000,1.255,0.797,0.879
1538,041172025_PRAS_DF4x_10x_Q4.jpg (red),50,1243.520,1713.080,0.813,1.369,0.731,0.885
1539,041172025_PRAS_DF4x_10x_Q4.jpg (red),13,768.423,1712.962,0.584,1.803,0.554,0.703
1540,041172025_PRAS_DF4x_10x_Q4.jpg (red),14,1314.286,1713.643,0.880,1.505,0.665,0.757
1541,041172025_PRAS_DF4x_10x_Q4.jpg (red),42,664.167,1719.024,0.906,1.407,0.711,0.913
1542,041172025_PRAS_DF4x_10x_Q4.jpg (red),91,1723.632,1721.423,0.841,1.482,0.675,0.871
1543,041172025_PRAS_DF4x_10x_Q4.jpg (red),43,468.965,1721.919,0.994,1.295,0.772,0.945
1544,041172025_PRAS_DF4x_10x_Q4.jpg (red),46,1604.174,1723.630,0.795,1.426,0.701,0.807
1545,041172025_PRAS_DF4x_10x_Q4.jpg (red),49,1262.786,1724.745,0.943,1.185,0.844,0.899
1546,041172025_PRAS_DF4x_10x_Q4.jpg (red),41,90.915,1726.646,0.604,1.702,0.588,0.781
1547,041172025_PRAS_DF4x_10x_Q4.jpg (red),32,1254.906,1726.375,0.710,1.491,0.671,0.790
1548,041172025_PRAS_DF4x_10x_Q4.jpg (red),38,312.842,1727.026,0.843,1.654,0.604,0.800
1549,041172025_PRAS_DF4x_10x_Q4.jpg (red),137,177.201,1731.449,0.937,1.141,0.877,0.919
1550,041172025_PRAS_DF4x_10x_Q4.jpg (red),26,365.154,1728.538,0.854,1.633,0.612,0.800
1551,041172025_PRAS_DF4x_10x_Q4.jpg (red),46,1342.913,1730.022,1.000,1.138,0.878,0.885
1552,041172025_PRAS_DF4x_10x_Q4.jpg (red),24,1382.667,1728.500,0.916,1.306,0.766,0.814
1553,041172025_PRAS_DF4x_10x_Q4.jpg (red),59,1187.958,1731.364,1.000,1.153,0.868,0.922
1554,041172025_PRAS_DF4x_10x_Q4.jpg (red),9,2288.611,1728.833,0.799,1.552,0.645,0.783
1555,041172025_PRAS_DF4x_10x_Q4.jpg (red),89,1247.084,1733.466,0.861,1.216,0.822,0.894
1556,041172025_PRAS_DF4x_10x_Q4.jpg (red),47,1551.223,1731.245,0.848,1.543,0.648,0.832
1557,041172025_PRAS_DF4x_10x_Q4.jpg (red),15,147.633,1731.433,0.976,1.399,0.715,0.882
1558,041172025_PRAS_DF4x_10x_Q4.jpg (red),62,1259.500,1733.823,1.000,1.031,0.970,0.905
1559,041172025_PRAS_DF4x_10x_Q4.jpg (red),15,662.433,1733.633,0.804,1.456,0.687,0.769
1560,041172025_PRAS_DF4x_10x_Q4.jpg (red),41,1049.744,1734.354,0.708,1.342,0.745,0.774
1561,041172025_PRAS_DF4x_10x_Q4.jpg (red),45,2201.478,1735.678,0.907,1.444,0.692,0.857
1562,041172025_PRAS_DF4x_10x_Q4.jpg (red),70,470.843,1737.371,0.839,1.214,0.824,0.886
1563,041172025_PRAS_DF4x_10x_Q4.jpg (red),139,2168.802,1741.651,0.684,1.559,0.641,0.866
1564,041172025_PRAS_DF4x_10x_Q4.jpg (red),38,1547.526,1739.684,0.686,1.146,0.873,0.784
