2277,30
2277,66
2256,63
2256,39
2226,57
2199,96
2187,60
2178,51
2178,42
2169,21
2154,12
2091,18
2061,18
2028,21
1977,18
1947,42
1917,24
1911,39
1833,51
1818,42
1812,30
1797,15
1776,24
1776,48
2136,60
2178,96
2169,120
2130,87
2127,102
2244,171
2277,189
2280,276
2271,399
2265,483
2235,471
2217,438
2199,450
2235,591
2214,588
2199,564
2187,573
2172,591
2154,573
2160,495
2094,474
2103,417
2109,405
2151,408
2175,393
2169,378
2196,342
2232,387
2250,378
2175,291
2193,261
2226,216
2223,186
2121,354
2118,330
2094,294
2136,237
2103,240
2061,237
2127,141
2043,39
2022,66
1995,90
1989,108
1920,186
1905,216
1992,234
2031,261
2022,276
2019,303
1989,285
1980,261
2019,330
2007,354
2061,360
1998,426
1977,315
1953,300
1953,357
1935,369
1932,384
1944,408
1914,417
1902,435
1902,327
1854,372
1839,375
1836,399
1788,399
1812,429
1824,435
1785,477
1731,453
1749,330
1773,324
1725,339
1716,333
1704,351
1698,339
1683,324
1710,321
1710,306
1779,252
1788,225
1836,237
1836,264
1833,285
1872,207
1821,192
1806,201
1824,156
1806,138
1866,123
1884,123
1818,78
1794,84
1770,105
1713,93
1710,72
1728,123
1698,138
1734,180
1713,258
1947,501
1974,510
1995,537
2046,597
1902,552
1899,534
1911,513
1848,552
1743,546
1725,567
1740,594
1707,570
1656,606
1677,615
1650,618
1671,570
1686,555
1695,537
1701,483
1677,471
1665,507
1632,495
1650,474
1632,453
1614,456
1617,540
1596,591
1557,591
1542,561
1548,543
1551,489
1572,456
1545,450
1545,432
1557,411
1563,399
1593,402
1599,399
1680,351
1692,267
1677,270
1665,231
1638,258
1617,255
1590,261
1614,204
1626,189
1635,156
1614,141
1617,114
1638,96
1665,15
1626,33
1584,18
1548,15
1530,36
1497,30
1503,75
1554,81
1491,117
1512,123
1518,141
1566,174
1611,156
1521,207
1503,234
1506,270
1527,297
1560,339
1557,372
1491,342
1500,387
1500,399
1485,417
1503,429
1491,555
1479,576
1440,585
1503,603
1428,546
1419,519
1458,522
1443,510
1440,492
1482,495
1431,468
1410,441
1437,414
1437,375
1395,375
1386,393
1410,315
1410,285
1431,297
1434,276
1386,198
1404,147
1431,69
1434,84
1446,57
1401,18
1308,18
1383,84
1371,123
1338,111
1353,159
1332,183
1317,165
1299,189
1296,162
1278,153
1284,126
1269,108
1227,54
1209,36
1197,81
1173,99
1143,102
1143,87
1197,111
1215,138
1215,174
1269,168
1248,183
1236,201
1134,135
1332,237
1311,264
1296,273
1344,303
1293,306
1299,327
1314,333
1332,429
1341,432
1365,483
1335,516
1341,522
1344,546
1323,549
1311,531
1311,549
1293,570
1263,585
1236,594
1182,594
1218,540
1227,507
1233,483
1215,459
1233,441
1215,444
1194,438
1206,417
1224,420
1239,405
1263,438
1188,408
1185,381
1158,411
1185,312
1155,300
1143,315
1143,360
1140,258
1167,240
1218,225
1221,255
1257,303
1134,210
1125,222
1155,459
1146,483
1164,558
1149,543
1131,543
1140,576
1155,597
1074,576
1089,534
1062,504
1101,465
1128,414
1086,384
1068,297
1068,252
1056,246
1071,207
1089,186
1077,156
1107,135
1083,108
1119,81
1080,48
1083,9
1020,15
945,21
867,12
855,15
831,39
819,21
822,57
882,39
891,45
912,57
924,66
909,75
888,87
879,87
963,57
1008,147
1023,141
1023,183
990,165
975,198
954,171
933,165
924,156
894,141
897,165
885,162
918,186
936,195
903,210
924,225
963,222
966,237
1017,240
1020,294
675,27
672,57
615,42
651,72
669,90
1032,390
1008,393
1014,366
963,348
963,315
942,291
915,285
915,255
894,258
996,426
978,435
960,438
969,408
993,498
1014,546
981,552
963,531
957,504
936,543
933,579
897,573
1008,588
975,603
864,528
870,507
870,492
903,471
912,378
846,438
834,423
816,375
849,339
837,330
828,246
825,192
819,159
840,174
786,138
762,174
717,162
675,147
651,135
618,129
576,108
561,108
600,138
630,159
597,171
609,183
654,186
